t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
0.23948848,1.9194782,155720010403680,1557200104,T192639,756.0
-0.33230627,-0.6562784,126280120000420,1262801200,N3839,60.0
1.7890658,-0.7548313,036220180002280,362201800,T133351,18.0
1.6125818,-0.72681165,036220180000310,362201800,T133351,18.0
-1.2493188,-1.0287298,171230130100840,1712301301,T77908,90.0
-1.2493188,-1.0287298,171230130100840,1712301301,T77908,90.0
-0.52321464,0.94545597,133230130000930,1332301300,N36448,36.0
-1.2517607,-1.0311247,171230130100850,1712301301,T77908,90.0
-1.2517607,-1.0311247,171230130100850,1712301301,T77908,90.0
-0.38816568,0.9889043,133230130002680,1332301300,N36448,36.0
-0.30596378,-0.79723585,126280120000520,1262801200,N3839,60.0
-0.17562568,0.6789532,133230130000950,1332301300,N36448,36.0
-1.1572013,-0.8650805,171230130100270,1712301301,T77908,90.0
-1.1572013,-0.8650805,171230130100270,1712301301,T77908,90.0
1.6341792,-0.97771466,036220180001900,362201800,T133351,18.0
-0.26382273,0.98241484,018010030006190,180100300,T87972,72.0
1.4501139,-1.2474709,168150010000260,1681500100,T167430,48.0
-0.84724915,-0.33303177,171230130100910,1712301301,T77908,90.0
-0.84724915,-0.33303177,171230130100910,1712301301,T77908,90.0
1.6777074,-0.92899424,036220180002170,362201800,T133351,18.0
-0.45377037,-0.83091605,126280120000380,1262801200,N3839,60.0
-0.45377037,-0.83091605,126280120000380,1262801200,N3839,60.0
-0.45377037,-0.83091605,126280120000380,1262801200,N3839,60.0
-0.98334855,-0.13127376,171230130100630,1712301301,T77908,90.0
-0.98334855,-0.13127376,171230130100630,1712301301,T77908,90.0
-0.38520184,1.5287064,122080040000010,1220800400,N40444,6.0
1.3730597,-0.84252614,036220180002270,362201800,T133351,18.0
0.12848173,2.0051131,155720010301390,1557200103,T192639,756.0
-0.51922154,0.9317127,133230130001280,1332301300,N36448,36.0
-0.39196256,-0.93951374,126280120000110,1262801200,N3839,60.0
-0.39196256,-0.93951374,126280120000110,1262801200,N3839,60.0
-0.8226494,-0.612653,126280120004600,1262801200,N3839,60.0
