ecco_id,image_count
0017500500,5
0017500600,1
0017500701,7
0017500702,4
0017500800,4
0017500900,1
0017501000,2
0017600200,2
0017600300,27
0017600500,61
0017600600,1
0017600800,3
0017600900,27
0017700200,4
0017700400,3
0017700900,10
0017701000,2
0017800101,91
0017800102,207
0017800200,3
0017800301,76
0017800302,50
0017800400,1
0017800500,1
0017800700,6
0017900100,7
0017900200,4
0017900300,3
0017900400,5
0017900500,1
0017901200,3
0017901300,4
0017902100,2
0017902300,3
0017902400,2
0017902500,2
0018000200,55
0018100101,2
0018100102,1
0018100103,1
0018100104,1
0018100105,1
0018200107,3
0018200108,3
0018200200,37
0018200301,35
0018200302,21
0018200400,13
0018200600,5
0018300100,11
0018300301,8
0018300302,11
0018300400,9
0018300500,7
0018300600,5
0018400101,1
0018500103,2
0018600300,5
0018600400,1
0018700300,3
0018700400,24
0018700502,1
0018800201,2
0018800202,2
0018900101,6
0018900102,6
0018900204,1
0018900301,5
0018900302,2
0019000101,1
0019000200,4
0019000300,2
0019000401,3
0019000402,3
0019000403,2
0019000404,2
0019000405,3
0019000406,2
0019100107,4
0019100203,1
0019100401,1
0019100402,1
0019200101,4
0019200102,3
0019200600,15
0019200700,1
0019200900,4
0019300101,1
0019300102,1
0019300200,3
0019300601,1
0019300602,1
0019500200,2
0019500300,1
0019500500,4
0019500600,1
0019500900,2
0019501000,3
0019501100,2
0019501200,2
0019501300,2
0019501400,3
0019501600,5
0019501700,2
0019501800,14
0019501900,3
0019502000,1
0019502100,4
0019502300,8
0019502500,2
0019600101,5
0019600102,2
0019600103,1
0019600104,4
0019600200,6
0019600300,4
0019600501,3
0019600502,1
0019600601,15
0019600602,17
0019700301,1
0019700400,21
0019700500,3
0019700600,2
0019700700,2
0019700800,2
0019700900,1
0019800100,22
0019800200,1
0019800400,2
0019800900,2
0019801100,3
0019900202,1
0019900601,3
0019900602,2
0020000101,1
0020000102,1
0020000103,1
0020000105,1
0020000106,1
0020000107,1
0020000108,2
0020000109,2
0020000401,6
0020000402,6
0020000500,8
0020000600,1
0020100100,16
0020100200,5
0020100301,40
0020100302,41
0020100401,1
0020100402,1
0020100600,8
0020100700,4
0020200101,4
0020200102,4
0020200103,2
0020200201,36
0020200202,23
0020200500,16
0020300100,24
0020300300,16
0020300401,7
0020300402,11
0020300500,4
0020301001,28
0020301002,20
0020301003,1
0020400104,1
0020400105,22
0020400201,6
0020400202,8
0020400400,13
0020400501,54
0020400502,52
0020500201,2
0020500202,2
0020500203,2
0020500204,2
0020500301,1
0020500302,1
0020500401,3
0020500402,2
0020500500,13
0020600101,22
0020600102,9
0020600500,3
0020600600,2
0020700202,1
0020700301,5
0020700302,2
0020700401,33
0020700402,30
0020700501,7
0020700502,6
0020700700,12
0020800601,4
0020800602,22
0020800700,1
0020800800,4
0020800900,1
0020900101,2
0020900103,2
0020900104,1
0020900301,1
0020900302,1
0020900401,2
0020900402,2
0020900403,2
0021100101,11
0021100102,14
0021100301,45
0021100302,55
0021100303,57
0021100304,70
0021200200,16
0021200401,22
0021200402,16
0021200500,5
0021200700,5
0021201100,3
0021201200,2
0021201300,2
0021300100,2
0021300300,1
0021300400,7
0021300600,11
0021300800,10
0021301000,3
0021400100,8
0021400201,6
0021400202,16
0021400401,88
0021400402,100
0021400900,1
0021401200,1
0021500100,36
0021500201,14
0021500202,8
0021600302,1
0021600401,6
0021600402,4
0021600403,5
0021600404,4
0021800100,1
0021800201,8
0021800202,10
0021800300,4
0021800400,7
0021800500,1
0021800801,1
0021900101,2
0021900102,3
0021900201,1
0021900202,2
0021900301,2
0021900302,2
0021900303,1
0021900304,1
0021900601,2
0021900602,2
0021900700,3
0022000201,3
0022000202,3
0022000300,1
0022100201,28
0022100202,16
0022100203,27
0022100301,1
0022200202,1
0022200203,1
0022200300,8
0022300101,41
0022300102,38
0022300301,11
0022300302,16
0022300401,8
0022300402,4
0022300600,5
0022400100,2
0022400201,39
0022400202,41
0022400301,1
0022400302,2
0022400500,2
0022400600,2
0022500200,17
0022500301,2
0022500303,1
0022500305,1
0022500306,1
0022500307,1
0022600402,1
0022600500,4
0022600600,7
0022700200,9
0022700401,4
0022700601,1
0022700602,1
0022700701,1
0022700702,1
0022800101,2
0022800102,2
0022800200,4
0022800601,1
0022900201,9
0022900202,2
0022900302,1
0023000202,1
0023000500,2
0023000600,8
0023100102,1
0023100401,1
0023100501,3
0023100502,2
0023100600,2
0023100800,11
0023200101,43
0023200102,24
0023200103,18
0023200104,39
0023200300,14
0023200401,26
0023200402,21
0023200403,18
0023300101,2
0023300102,2
0023300201,1
0023300202,1
0023300203,1
0023300402,5
0023300403,4
0023400101,3
0023400102,2
0023400300,6
0023400400,4
0023400501,29
0023400502,42
0023400600,6
0023400700,1
0023500102,1
0023500201,1
0023500302,1
0023500802,2
0023600301,2
0023600302,3
0023600303,3
0023600400,1
0023600501,5
0023600502,6
0023700200,2
0023700301,1
0023700302,2
0023700303,2
0023700701,2
0023700702,3
0023700800,1
0023800101,6
0023800102,3
0023800201,1
0023800500,11
0023800800,4
0023900200,2
0023900300,22
0023900400,2
0023900500,12
0023900600,2
0023900800,1
0024000400,1
0024100400,26
0024100601,1
0024100602,1
0024200100,17
0024200301,5
0024200302,2
0024200401,6
0024200402,3
0024200403,3
0024400101,1
0024400202,1
0024400300,16
0024400400,4
0024400500,15
0024400601,4
0024400602,4
0024600400,3
0024600500,10
0024600600,1
0024600800,1
0024601000,1
0024601100,9
0024700101,8
0024700102,6
0024700400,1
0024700700,1
0024700800,3
0024700900,2
0024701000,2
0024701100,1
0024701200,2
0024701300,3
0024701400,2
0024701600,1
0024701700,2
0024701800,1
0024800200,4
0024800300,1
0024800400,2
0024800500,22
0024800700,2
0024900100,18
0024900400,5
0024900600,2
0024900700,18
0024900900,12
0024901000,31
0024901100,3
0024901200,1
0024901400,5
0024901500,3
0024901600,2
0024901700,23
0024901800,1
0025000100,21
0025000200,7
0025000600,9
0025000800,1
0025000900,1
0025001300,4
0025001400,1
0025001500,3
0025001700,6
0025001800,1
0025001900,1
0025002000,13
0025002100,4
0025002200,8
0025002300,3
0025002400,14
0025002500,9
0025002600,3
0025002700,5
0025002800,14
0025002900,19
0025003000,2
0025003100,4
0025003200,7
0025100100,16
0025100300,14
0025100400,12
0025100600,10
0025100700,1
0025100800,1
0025100900,1
0025101100,1
0025101200,17
0025101300,24
0025101500,12
0025101600,1
0025101800,20
0025101900,24
0025102000,12
0025102100,10
0025102200,16
0025102300,10
0025102400,19
0025102500,19
0025102600,1
0025102700,2
0025102800,13
0025102900,1
0025103000,2
0025103100,15
0025103200,16
0025103300,16
0025103400,16
0025103500,14
0025103600,23
0025103700,1
0025103800,1
0025103900,1
0025104000,12
0025104100,14
0025104200,12
0025104300,15
0025200100,9
0025200300,1
0025200400,2
0025200500,7
0025200600,9
0025200700,11
0025200800,1
0025200900,3
0025201000,6
0025201100,13
0025201200,10
0025201300,1
0025201400,1
0025201500,3
0025201600,11
0025201700,14
0025201800,8
0025201900,5
0025202000,3
0025202100,11
0025202200,2
0025202300,2
0025202400,1
0025202500,13
0025202600,1
0025202700,1
0025202800,19
0025202900,1
0025203000,12
0025203100,7
0025203200,7
0025203300,6
0025203400,10
0025203500,8
0025203600,5
0025203700,9
0025203800,2
0025203900,8
0025204000,13
0025204100,1
0025204200,1
0025204400,12
0025204500,1
0025300300,2
0025300500,1
0025300600,5
0025300700,2
0025300800,3
0025300900,3
0025301400,3
0025301500,20
0025301700,2
0025302000,1
0025302200,18
0025302300,15
0025302500,4
0025400200,3
0025400400,32
0025400600,36
0025400700,1
0025400800,15
0025400900,1
0025401100,1
0025401501,5
0025401502,4
0025401600,3
0025500100,11
0025500300,41
0025500400,3
0025500500,6
0025500600,10
0025500800,2
0025500900,2
0025501000,2
0025501200,5
0025501500,54
0025501800,1
0025501900,21
0025600500,11
0025600600,1
0025601100,69
0025700100,1
0025700300,6
0025800400,6
0025800600,24
0025800800,2
0025801000,2
0025801100,5
0025801400,3
0025801500,4
0025801900,3
0025802100,12
0025900200,9
0025900300,9
0025900400,3
0025900700,17
0025900801,9
0025900802,8
0026000100,2
0026000400,2
0026000500,2
0026000700,1
0026001000,1
0026001200,1
0026002400,1
0026002700,1
0026003300,1
0026003400,1
0026003700,1
0026004800,1
0026005500,1
0026005900,1
0026006600,1
0026007700,3
0026008200,1
0026008300,1
0026008600,1
0026008700,1
0026008900,1
0026009000,2
0026009100,1
0026009200,1
0026009500,1
0026010200,2
0026010400,1
0026010800,1
0026100200,1
